section,year,acquisition_dates,n_scenes
sacramento_68,2020,"2020-06-16, 2020-07-08",2
sacramento_68,2022,2022-07-08,1
sacramento_69,2009,2009-07-01,1
sacramento_69,2010,2010-07-10,1
sacramento_69,2012,2012-07-04,1
sacramento_69,2014,"2014-06-20, 2014-07-24",2
sacramento_69,2016,2016-07-09,1
sacramento_69,2018,"2018-07-14, 2018-07-20",2
sacramento_69,2020,"2020-06-16, 2020-07-08",2
sacramento_69,2022,2022-07-08,1
sacramento_7,2009,2009-07-01,1
sacramento_7,2010,2010-07-19,1
sacramento_7,2012,2012-07-02,1
sacramento_7,2014,2014-07-25,1
sacramento_7,2016,2016-07-16,1
sacramento_7,2018,2018-07-19,1
sacramento_7,2020,2020-07-12,1
sacramento_7,2022,2022-07-16,1
sacramento_70,2009,"2009-06-20, 2009-07-01",2
sacramento_70,2010,"2010-07-10, 2010-08-29",2
sacramento_70,2012,"2012-06-27, 2012-07-04",2
sacramento_70,2014,2014-06-20,1
sacramento_70,2016,2016-07-09,1
sacramento_70,2018,2018-07-14,1
sacramento_70,2020,2020-06-16,1
sacramento_70,2022,"2022-06-20, 2022-07-08",2
sacramento_71,2009,2009-07-01,1
sacramento_71,2010,"2010-07-10, 2010-07-11",2
sacramento_71,2012,2012-07-04,1
sacramento_71,2014,2014-06-20,1
sacramento_71,2016,2016-07-09,1
sacramento_71,2018,"2018-07-13, 2018-07-14",2
sacramento_71,2020,2020-06-16,1
sacramento_71,2022,2022-07-08,1
sacramento_72,2009,"2009-06-20, 2009-07-01",2
sacramento_72,2010,"2010-07-10, 2010-07-11",2
sacramento_72,2012,"2012-06-27, 2012-07-04",2
sacramento_72,2014,2014-06-20,1
sacramento_72,2016,"2016-06-19, 2016-07-09",2
sacramento_72,2018,"2018-07-13, 2018-07-14",2
sacramento_72,2020,2020-06-16,1
sacramento_72,2022,"2022-06-20, 2022-07-08",2
sacramento_73,2009,"2009-06-20, 2009-07-01",2
sacramento_73,2010,"2010-07-10, 2010-07-11",2
sacramento_73,2012,"2012-06-27, 2012-07-04",2
sacramento_73,2014,2014-06-20,1
sacramento_73,2016,"2016-06-19, 2016-07-09",2
sacramento_73,2018,"2018-07-13, 2018-07-14",2
sacramento_73,2020,2020-06-16,1
sacramento_73,2022,"2022-06-20, 2022-07-08",2
sacramento_74,2009,2009-06-20,1
sacramento_74,2010,"2010-07-10, 2010-07-11, 2010-08-29",3
sacramento_74,2012,2012-06-27,1
sacramento_74,2014,2014-06-20,1
sacramento_74,2016,"2016-06-19, 2016-07-09",2
sacramento_74,2018,"2018-07-13, 2018-07-14",2
sacramento_74,2020,2020-06-16,1
sacramento_74,2022,2022-06-20,1
sacramento_75,2009,2009-06-20,1
sacramento_75,2010,"2010-07-10, 2010-08-29",2
sacramento_75,2012,2012-06-27,1
sacramento_75,2014,2014-06-20,1
sacramento_75,2016,"2016-06-19, 2016-07-09",2
sacramento_75,2018,"2018-07-13, 2018-07-14",2
sacramento_75,2020,2020-06-16,1
sacramento_75,2022,2022-06-20,1
sacramento_76,2009,2009-06-20,1
sacramento_76,2010,"2010-05-28, 2010-08-29, 2010-08-30",3
sacramento_76,2012,2012-06-27,1
sacramento_76,2014,2014-06-20,1
sacramento_76,2016,2016-06-19,1
sacramento_76,2018,2018-07-13,1
sacramento_76,2020,2020-06-16,1
sacramento_76,2022,2022-06-20,1
sacramento_77,2009,2009-06-20,1
sacramento_77,2010,"2010-05-28, 2010-08-29, 2010-08-30",3
sacramento_77,2012,2012-06-27,1
sacramento_77,2014,2014-06-20,1
sacramento_77,2016,2016-06-19,1
sacramento_77,2018,2018-07-13,1
sacramento_77,2020,2020-06-16,1
sacramento_77,2022,2022-06-20,1
sacramento_78,2009,2009-06-20,1
sacramento_78,2010,"2010-06-30, 2010-08-29",2
sacramento_78,2012,2012-06-27,1
sacramento_78,2014,"2014-06-05, 2014-06-20",2
sacramento_78,2016,"2016-06-19, 2016-06-20",2
sacramento_78,2018,2018-07-13,1
sacramento_78,2020,2020-06-16,1
sacramento_78,2022,2022-06-20,1
sacramento_79,2009,2009-06-20,1
sacramento_79,2010,"2010-06-30, 2010-08-29, 2010-08-30",3
sacramento_79,2012,2012-06-27,1
sacramento_79,2014,"2014-06-05, 2014-06-20",2
sacramento_79,2016,"2016-06-19, 2016-06-20",2
sacramento_79,2018,2018-07-13,1
sacramento_79,2020,2020-06-16,1
sacramento_79,2022,2022-06-20,1
sacramento_8,2009,"2009-07-01, 2009-07-02",2
sacramento_8,2010,2010-07-19,1
sacramento_8,2012,2012-07-02,1
sacramento_8,2014,2014-07-25,1
sacramento_8,2016,2016-07-16,1
sacramento_8,2018,"2018-07-19, 2018-10-06",2
sacramento_8,2020,2020-07-12,1
sacramento_8,2022,2022-07-16,1
sacramento_80,2009,2009-06-20,1
sacramento_80,2010,"2010-05-28, 2010-08-29",2
sacramento_80,2012,2012-06-27,1
sacramento_80,2014,2014-06-05,1
sacramento_80,2016,2016-06-19,1
sacramento_80,2018,2018-07-13,1
sacramento_80,2020,2020-06-16,1
sacramento_80,2022,2022-06-20,1
sacramento_81,2009,2009-06-20,1
sacramento_81,2010,"2010-05-28, 2010-08-29",2
sacramento_81,2012,2012-06-27,1
sacramento_81,2014,"2014-06-05, 2014-06-20",2
sacramento_81,2016,2016-06-19,1
sacramento_81,2018,2018-07-13,1
sacramento_81,2020,2020-06-16,1
sacramento_81,2022,2022-06-20,1
sacramento_82,2009,2009-06-20,1
sacramento_82,2010,2010-08-29,1
sacramento_82,2012,2012-06-27,1
sacramento_82,2014,2014-06-20,1
sacramento_82,2016,"2016-06-19, 2016-06-20",2
sacramento_82,2018,2018-07-13,1
sacramento_82,2020,2020-06-16,1
sacramento_82,2022,2022-06-20,1
sacramento_83,2009,2009-06-20,1
sacramento_83,2010,"2010-07-18, 2010-08-29",2
sacramento_83,2012,2012-06-27,1
sacramento_83,2014,"2014-06-05, 2014-06-20",2
sacramento_83,2016,"2016-06-19, 2016-06-20",2
sacramento_83,2018,2018-07-13,1
sacramento_83,2020,2020-06-16,1
sacramento_83,2022,2022-06-20,1
sacramento_84,2009,2009-06-20,1
sacramento_84,2010,"2010-07-18, 2010-08-29",2
sacramento_84,2012,2012-06-27,1
sacramento_84,2014,"2014-06-05, 2014-06-20",2
